ranks,titles,index,gross,theaters,per_theater,total_gross
-,Max Winslow and the House of Secrets,177,"$8,367",13,$644,"$20,270"
-,The Gentlemen,177,"$5,067",8,$633,"$36,310,692"
-,The Last Tree,177,"$4,071",63(v),$65,"$4,071"
-,The Trip to Greece,177,"$1,676",11,$152,"$8,340"
-,Babyteeth,177,$724,6,$121,"$4,507"
-,The Transcendents,177,$564,1,$564,$564
-,Relic,184,"$345,396",69,"$5,006","$345,396"
-,The Outpost,184,"$43,965",74,$594,"$43,965"
-,Followed,184,"$42,736",90,$475,"$442,265"
-,Becky,184,"$42,689",7,"$6,098","$915,178"
-,The Wretched,184,"$40,590",62,$655,"$1,700,229"
-,Max Winslow and the House of Secrets,184,"$10,982",6,"$1,830","$31,252"
-,I Still Believe,184,"$10,116",68,$149,"$10,328,437"
-,The Gentlemen,184,"$4,518",13,$348,"$36,315,210"
-,Infamous,184,"$4,203",4,"$1,051","$429,148"
-,The Last Tree,184,"$3,584",73(v),$49,"$7,655"
-,The Truth,184,"$2,777",10,$278,"$2,777"
-,Sex and the Future,184,$811,1,$811,"$3,101"
-,StarDog and TurboCat,184,$75,2,$38,"$80,398"
-,Relic,191,"$302,672",126,"$2,402","$648,068"
-,Archive,191,"$79,869",26,"$3,072","$79,869"
-,Followed,191,"$43,801",100,$438,"$486,066"
-,The Outpost,191,"$32,674",81,$403,"$76,639"
-,The Wretched,191,"$21,584",44,$491,"$1,721,813"
-,I Still Believe,191,"$9,632",50,$193,"$10,338,069"
-,The Gentlemen,191,"$7,040",19,$371,"$36,322,250"
-,The Truth,191,"$2,496",9,$277,"$5,273"
-,Guest Artist,191,"$1,786",2,$893,"$1,786"
-,The Last Tree,191,"$1,692",63(v),$27,"$9,347"
-,The Fox Hunter,191,$526,1,$526,"$1,577"
-,The Transcendents,191,$526,1,$526,"$1,090"
-,Relic,198,"$254,326",133,"$1,912","$902,394"
-,The Outpost,198,"$61,698",79,$781,"$138,337"
-,Archive,198,"$59,724",18,"$3,318","$139,593"
-,Followed,198,"$41,463",75,$553,"$527,529"
-,The Wretched,198,"$26,535",34,$780,"$1,748,348"
-,The Gentlemen,198,"$10,231",33,$310,"$36,332,481"
