Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/7/24,-,The Painted Bird,$706,"$1,460",Drama,Czech,Václav Marhoul,"Jul 17, 2020",$1.3K,2h 49m,IFC Films,"PubRes, Silver Screen Partners II"
2020/7/31,1,The Rental,"$456,222","$1,054,732","Horror, Comedy",English,"Mike Campbell, Todd Johnson",,,1h 35m,,3 Roses Entertainment
2020/7/31,2,The Big Ugly,"$145,168","$374,550","Crime, Drama",English,Scott Wiper,,$502.4K,1h 46m,,4G Vision
2020/7/31,-,Summerland,"$38,335","$38,335",Comedy,Icelandic,Grímur Hákonarson,,,1h 25m,,
2020/7/31,-,The Wretched,"$20,362","$1,798,250",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/7/31,-,Relic,"$14,395","$1,007,472","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/7/31,-,The Outpost,"$12,773","$169,131",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/7/31,-,The Gentlemen,"$9,403","$36,352,204","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/7/31,-,I Still Believe,"$4,575","$10,352,559","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/7/31,-,Killer Raccoons 2: Dark Christmas in the Dark,"$4,476","$4,476","Holiday, Comedy, Action",English,Travis Irvine,,$15.1K,1h 36m,,"Overbites Pictures, Studio Vista"
2020/7/31,-,What We Found,"$3,931","$3,931",Mystery & thriller,English,Ben Hickernell,"Jul 31, 2020",$6.8K,1h 50m,,"Reconstruction Pictures, Create Entertainment"
2020/7/31,-,Followed,"$3,389","$537,691",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/7/31,-,Guest Artist,"$1,189","$5,906",Drama,English,Timothy Busfield,,$7.0K,1h 14m,,Grand River Productions
2020/7/31,-,The Truth,$429,"$9,354",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
2020/8/7,1,The Tax Collector,"$430,423","$430,423","Mystery & thriller, Crime, Drama",English,David Ayer,"Aug 7, 2020",$942.7K,1h 35m,RLJE Films,"Kodiak Pictures, Cedar Creek Productions, Faster Horse Pictures, Cross Creek Pictures"
2020/8/7,-,The Rental,"$224,544","$1,279,276","Horror, Comedy",English,"Mike Campbell, Todd Johnson",,,1h 35m,,3 Roses Entertainment
2020/8/7,-,Train to Busan Presents: Peninsula,"$194,086","$194,086","Horror, Mystery & thriller, Action",Korean,Yeon Sang-ho,"Aug 21, 2020",$1.2M,1h 56m,Well Go USA Entertainment,"Movic Comics, RedPeter Film, Next Entertainment World"
2020/8/7,-,The Big Ugly,"$105,583","$480,133","Crime, Drama",English,Scott Wiper,,$502.4K,1h 46m,,4G Vision
2020/8/7,-,Made in Italy,"$52,332","$52,332","Comedy, Drama",English (United Kingdom),James D'Arcy,"Aug 7, 2020",$101.1K,1h 34m,IFC Films,"CrossDay Productions Ltd., Indiana Production Company"
2020/8/7,-,The Burnt Orange Heresy,"$40,988","$80,881",Mystery & thriller,English,Giuseppe Capotondi,"Mar 6, 2020",$143.8K,1h 39m,Sony Pictures Classics,"Indiana Production Company, Rumble Films"
2020/8/7,-,Becky,"$39,081","$1,002,852","Romance, Comedy",,John P. McCarthy,"Nov 12, 1927",,58m,Metro-Goldwyn-Mayer,
